SKU,Descripcion,Familia,Linea,Fabricante,Precio_Lista,Moneda,Porcentaje_IVA,Porcentaje_IEPS
62026,JELLY BELLY HARRY POTTER LATAS 28 GRAMOS,GOMITAS,JELLY BELLY,JELLY BELLY,82,Pesos,0,8
UE6249,"CHOCO CON LECHE, ARANDANOS Y AVELLANAS 250 G",TABLETAS CHOCOLATE,RITTER,RITTER,82,Pesos,0,8
6735,HOJAS DE PARRA RELLENAS DE ARROZ Y PIMIENTO 280g,PARILIA,PALIRIA,PALIRIA,81.5,Pesos,0,0
20028,2/12-4.5 OZ JB SORS BOX,GOMITAS,JELLY BELLY,JELLY BELLY,80,Pesos,0,8
20029,2/12-4.5 OZ JB TROPICAL BOX,GOMITAS,JELLY BELLY,JELLY BELLY,80,Pesos,0,8
25002,JELLY BELLY GOMITAS SURTIDAS 198 GRS/7 ONZ,GOMITAS,JELLY BELLY,JELLY BELLY,79,Pesos,0,8
25002 HAM,JELLY BELLY GOMITAS SURTIDAS 198 GRS/7 ONZ,GOMITAS,JELLY BELLY,JELLY BELLY,79,Pesos,0,0
25003,JELLY BELLY GOMITAS AGRIDULCES 198 GRS/7 ONZ,GOMITAS,JELLY BELLY,JELLY BELLY,79,Pesos,0,8
25003 HAM,JELLY BELLY GOMITAS AGRIDULCES 198 GRS/7 ONZ,GOMITAS,JELLY BELLY,JELLY BELLY,79,Pesos,0,0
MRR116,MINI RITTER SPORT ESTUCH CON 116 GRS,CHOCOLATES,RITTER,RITTER,77,Pesos,0,8
30250 HAR,GOMITAS DE OSITOS 816 G,GOMITAS,HARIBO,HARIBO,75,Pesos,0,8
31238 HAR,GOMITAS DE OSITOS ACIDULADOS DE 726 G,GOMITAS,HARIBO,HARIBO,75,Pesos,0,8
480648 K,GOMITAS MINI BELT 1 KG,GOMITAS,FASCINI,FASCINI,75,Pesos,0,8
650,LATA FRUTAS MIXTAS CON DULCES 125 GRS.,DULCES,CHURCHILLS,CHURCHILLS,73,Pesos,0,8
EX6039,CHOCOLATE LECHE EXTRAFINO 250 G,NULL,RITTER,RITTER,72.5,Pesos,0,8
EX6069,CHOCOLATE CON LECHE 40% CACAO 250 G,TABLETAS CHOCOLATE,RITTER,RITTER,72.5,Pesos,0,8
TCJ8,CHILES JALAPE�OS TORRATOS 8 oz.,ML GOURMET,ML GOURMET,ML GOURMET,72.5,Pesos,0,0
TCS8,CHILES SERRANOS TORRATOS 8 oz,ML GOURMET,ML GOURMET,ML GOURMET,72.5,Pesos,0,0
UE6139,"CHOCO CON LECHE, AVELLANAS ENTERAS Y HOJUELAS DE MA�Z 250 G",TABLETAS CHOCOLATE,RITTER,RITTER,72.5,Pesos,0,8
